State_Name,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
India,25.44,17.52,19.9,24.45,29.16,32.01,31.76,29.41,28.35,27.67,25.55,21.61,18.13
Madhya Pradesh,26.79,18.01,20.62,25.91,31.67,35.46,34.66,30.07,28.81,28.38,26.63,22.41,18.61
Jharkhand,25.82,17.62,20.49,25.33,31.04,33.85,32.76,29.49,28.11,27.43,25.43,21.4,17.6
Andaman and Nicobar,27.9,26.29,26.39,27.2,28.67,29.35,29.15,28.51,28.33,28.18,28.25,27.92,27.06
Chhattisgarh,27.23,20.34,22.79,27.47,32.19,35.09,34.11,29.35,27.83,27.87,26.47,23.18,20.32
Administrative unit not available,16.93,4.55,6.5,11.33,17.15,22.94,27.83,28.8,27.26,23.74,17.58,11.09,6.2
Chandigarh,25.81,13.54,16.46,21.65,28.19,33.87,36.78,35.86,34.17,31.33,25.87,19.52,14.33
Administrative unit not available,11.7,-1.17,0.75,5.61,11.39,17.21,22.17,24.26,23.45,19.05,12.74,6.09,0.63
Daman and Diu,27.63,24.72,25.23,26.66,27.68,28.71,29.05,28.71,28.17,28.51,29.3,28.45,26.14
Administrative unit not available,6.73,-5.97,-4.03,0.48,5.95,11.77,16.77,19.15,18.4,14.19,7.74,1.2,-3.93
Dadra and Nagar Haveli,27.85,23.38,24.92,28.19,30.84,31.34,30.27,28.54,27.79,28.41,28.9,26.87,24.69
Administrative unit not available,1.3,-11.65,-9.53,-5.2,0.08,5.65,10.99,14.16,13.96,9.54,2.36,-4.42,-9.67
Administrative unit not available,24.77,11.72,14.52,19.76,26.19,32.04,36.19,36.49,34.83,31.2,24.76,17.92,13.02
Administrative unit not available,22.19,9.43,11.79,16.8,22.89,28.75,33.65,34.16,32.35,28.74,22.62,15.74,10.93
Bihar,26.32,17.29,19.88,25.12,30.98,34.56,33.86,31,29.89,28.99,26.4,21.52,17.34
Administrative unit not available,15.33,3.02,4.95,9.69,15.37,21.15,25.9,27.09,25.67,22.13,15.94,9.57,4.76
Arunachal Pradesh,20.76,12.09,14.5,18.85,23.26,25.27,26.06,26.41,26.29,24.94,21.48,16.89,12.8
Administrative unit not available,17.64,5.09,7.15,12.02,17.9,23.74,28.63,29.61,28.09,24.45,18.29,11.67,6.73
West Bengal,26.85,19.47,22,26.5,31,33.15,32.11,30.33,29.36,28.73,27.08,23.39,19.99
Maharashtra,27.66,22.73,24.69,28.4,31.8,33.22,31.39,28.19,27.25,27.81,27.65,25.3,23.05
Lakshadweep,28.08,27.59,27.63,28.01,28.53,28.94,28.66,28.18,27.87,27.85,27.95,28.17,27.95
Administrative unit not available,18.74,5.95,8.18,13.15,19.16,24.93,29.79,30.94,29.48,25.52,19.31,12.56,7.52
Administrative unit not available,23.99,11.68,14.07,19.09,25.13,30.97,34.98,35.47,33.56,29.93,24.13,17.47,12.84
Kerala,27.89,27.04,27.79,29.04,29.51,29.26,28.42,27.54,27.24,27.22,27.51,27.59,27.15
Karnataka,26.91,24.21,26.03,28.62,30.44,30.17,28.29,26.44,26.01,26.3,26.54,25.68,24.35
Himachal Pradesh,18.3,6.46,8.63,13.38,19.17,24.68,28.56,28.81,27.39,24.22,18.69,12.61,8.15
Haryana,26.03,13.48,16.62,22.29,29.09,34.23,36.64,35.58,33.63,31.26,26.24,19.83,14.52
Gujarat,27.92,21.17,23.26,27.16,30.89,32.4,31.8,30.04,29.32,29.87,29.62,26.41,22.6
Uttarakhand,21.52,10.57,12.71,17.54,23.39,28.88,31.8,30.22,28.44,26.38,21.63,16.01,11.75
Goa,27.89,26.46,27.45,28.82,29.51,29.49,28.64,27.58,27.13,27.33,28.03,27.83,26.73
Uttar Pradesh,26.54,16,18.6,24.09,30.7,35.51,36.45,32.89,31.22,29.71,26.4,20.9,16.34
Nagaland,20.83,12.55,15.3,20.36,24.53,25.94,25.61,25.31,25.05,24.22,21.43,17.13,12.88
Mizoram,24.95,18.43,20.98,25.18,28.55,29.54,28.52,27.95,27.41,27.1,25.55,22.29,18.93
Meghalaya,24.82,16.62,19.63,24.57,29.13,30.58,29.47,29.1,28.38,27.69,25.58,21.11,17.18
Puducherry,29.01,26.81,27.56,29.69,31.51,31.6,30.51,29.22,29.01,28.95,28.57,27.96,27.23
Delhi,26.17,14.18,16.97,22.82,29.58,34.67,36.84,34.8,33.04,30.61,26.19,20.03,14.83
Manipur,21.24,13.61,16.47,21.52,25.5,26.51,25.61,25.11,24.58,24.03,21.75,17.71,13.74
Assam,23.61,15.39,18.04,22.81,27.31,28.87,28.53,28.23,27.85,26.98,24.32,19.97,16.01
Andhra Pradesh,28.29,23.66,25.56,29.17,32.4,33.78,31.92,29.19,28.27,28.3,27.67,25.69,23.9
Tripura,26.28,19.38,22.14,26.61,30.17,31.2,30.13,29.52,28.94,28.5,26.93,23.47,19.9
Tamil Nadu,27.95,25.73,26.73,29.02,30.68,30.58,29.34,28.07,27.8,27.77,27.41,26.78,26.09
Sikkim,17.04,8.2,10.42,14.76,19.66,23.09,23.08,22.49,22.26,21.18,17.79,13.08,9.34
Rajasthan,26.96,15.35,18.7,24.58,30.72,34.9,35.31,33.4,32.11,31.3,28.19,21.91,16.51
Punjab,25.86,12.8,15.94,21.46,28.05,33.69,36.91,36.73,34.91,31.97,26.05,19.26,13.89
Orissa,26.8,20.89,22.98,27.15,31.01,32.98,32.03,28.88,27.64,27.49,26.32,23.7,21.08
